Sample,Site,long,lat,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204
NLTD 36-2 ,Yasawa-Yadua Volcanic Zone ,-16.43,177.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703717,0.513105,18.5401,15.5373,38.3891
NLTD 36-7 ,Yasawa-Yadua Volcanic Zone ,-16.43,177.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703353,0.51312,18.5321,15.5347,38.3927
NLTD 7-12 ,West Cikobia ,-15.43,178.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703738,0.512921,18.6159,15.5685,38.6065
NLTD 8-1 ,West Cikobia ,-15.46,178.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703523,0.513013,18.4872,15.5363,38.4127
NLTD 9-1 ,West Cikobia ,-15.53,178.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703538,0.512963,18.707,15.6167,38.8015
NLTD 35-3 ,West Cikobia ,-15.36,178.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703396,0.512941,18.6267,15.5766,38.6452
NLTD 10-2 ,Futuna Spreading Center ,-14.85,-179.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703542,0.51297,18.5458,15.5367,38.4489
NLTD 11-1 ,Futuna Spreading Center ,-14.82,-178.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703506,0.512936,18.7078,15.5409,38.5755
NLTD 12-2 ,Futuna Spreading Center ,-14.59,-178.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703449,0.512971,18.6469,15.5395,38.5639
NLTD 13-2 ,Futuna Spreading Center ,-14.42,-178.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703469,0.513018,18.4591,15.5275,38.3211
NLTD 14-1 ,Futuna Spreading Center ,-14.71,-178.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703557,0.51296,18.6365,15.5628,38.5962
NLTD 28-20 ,Futuna Spreading Center ,-14,-178.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703597,0.512862,18.4382,15.4999,38.2966
NLTD 30-24 ,Futuna Spreading Center ,-15.01,-179.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703443,,,,
NLTD 30-38 ,Futuna Spreading Center ,-15.01,-179.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703478,0.512982,18.567,15.5358,38.4612
NLTD 31-11 ,Futuna Spreading Center ,-14.99,-179.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703625,0.512891,18.7438,15.5745,38.6697
NLTD 32-1 ,Futuna Spreading Center ,-14.97,-179.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703568,0.51296,18.7181,15.57,38.6742
NLTD 33-7 ,Futuna Spreading Center ,-15.05,-179.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703494,0.512954,18.6028,15.5479,38.5079
NLTD 22-14 ,Futuna Central Zone ,-14.89,-177.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703747,0.512949,18.4822,15.5391,38.3526
NLTD 23-12 ,Futuna Central Zone ,-14.92,-177.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703489,0.51303,,,
NLTD 24-1 ,Futuna Central Zone ,-15.03,-177.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70366,0.51295,18.5036,15.5476,38.4059
NLTD 26-7 ,Futuna Central Zone ,-15.03,-177.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703826,0.512943,18.5147,15.5404,38.428
NLTD 16-1 ,Futuna Central Zone ,-14.62,-177.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703667,0.512941,,,
NLTD 15-1 ,East Futuna Volcanic Zone ,-14.44,-177.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703666,0.51297,18.2742,15.4987,38.1384
NLTD 17-1 ,East Futuna Volcanic Zone ,-14.54,-177.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703797,0.512936,18.5538,15.5364,38.4039
NLTD 18-1 ,East Futuna Volcanic Zone ,-14.92,-177.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703631,0.513041,18.3801,15.5367,38.261
NLTD 18-3 ,East Futuna Volcanic Zone ,-14.92,-177.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703682,0.513021,18.4819,15.5534,38.3808
NLTD 19-16 ,East Futuna Volcanic Zone ,-14.8,-177.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703805,0.512959,18.6365,15.5556,38.5123
NLTD 21-1 ,East Futuna Volcanic Zone ,-15,-177.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703518,0.513083,18.3585,15.5207,38.2412
