Sample,Site,long,lat,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,serie,ISGN
FU3-CV02-01,Fatu Kapa,-177.16598,-14.73718,49.4359583,1.423338621,15.68679537,11.4167795,,7.828362416,11.74755538,2.596089457,0.340799388,0.150352671,,,,,,,,,,6.687335527,141.5736277,33.37279155,97.38084865,7.135127944,,0.171128802,61.88209732,6.23118465,14.02820061,2.296645081,10.84425606,3.410986092,1.231570846,4.373677923,0.779200181,5.10684713,1.05365626,3.119817152,,2.961112494,0.424948467,2.517412286,0.475815039,0.784158178,0.575496214,0.195208952,,,,,,1A,BFBG-154737
FU3-DR01-01,Fatu Kapa,-177.12637,-14.73584,52.16067276,2.267855337,14.04287715,13.7754881,,3.763253398,7.486893602,3.921706173,1.218105705,0.406035235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,BFBG-154738
FU3-DR01-04,Fatu Kapa,-177.12637,-14.73584,55.52632717,1.844596687,13.94356421,12.80308776,,2.152029469,5.910643149,4.730497957,1.437992041,0.585114003,,,,,,,,,,23.80171674,145.5807543,88.99818146,305.3474945,25.55401687,,0.313233622,194.5391151,23.73331389,55.02970374,7.736761781,36.29453949,10.40874916,3.143983155,12.55638868,2.112090618,13.33947011,2.774900624,8.430807514,,7.660828892,1.106695321,7.609160883,1.642661856,2.077330159,2.420263231,0.769788858,,0.513017,18.599,15.554,38.477,1A,BFBG-154743
FU3-DR01-05,Fatu Kapa,-177.12637,-14.73584,51.79,2.44,14.44,13.6,,4.19,8.46,3.9,0.84,0.42,,,,,,,,,,12.59776815,164.8777888,58.24913669,191.6842874,17.74630195,,0.174166623,136.1127014,14.52481181,35.20675958,5.02189967,23.72342526,6.873521405,2.297766963,8.497208943,1.443835163,9.467982228,1.90763239,5.559482698,,5.151063744,0.749960158,5.068558173,1.203432913,1.338017691,1.49070984,0.494357548,,,,,,1A,BFBG-154744
FU3-DR01-06,Fatu Kapa,-177.12637,-14.73584,52.16493108,2.288023217,13.95794076,13.81806161,,3.796719749,7.663379072,4.056495311,0.909214466,0.389663343,,,,,,,,,,19.35480914,158.6359662,67.65723102,239.3265359,21.30300307,,0.20458826,157.8472595,17.09686477,40.8344056,5.839793758,27.70488802,7.775547512,2.416593104,9.42776601,1.584458297,10.42844378,2.200602991,6.488282443,,6.046366632,0.905729707,6.304216347,1.411632411,1.781016482,1.969602591,0.55651285,0.70365,0.51301,18.627,15.555,38.497,1A,BFBG-154739
FU3-DR01-07,Fatu Kapa,-177.12637,-14.73584,52.25043142,2.296064048,14.155734,13.8462645,,3.94324043,7.706788891,3.983171979,0.888476958,0.399315487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,BFBG-154740
FU3-DR02-01,Fatu Kapa,-177.1943,-14.71104,49.68737583,1.214089757,14.96039527,11.02714581,,8.127377711,12.78306075,2.327841517,0.230777392,0.100337996,,,,,,,,,,2.781093451,127.1429659,21.51093123,55.14403827,4.439911055,,0.032864055,30.24850731,3.615708613,8.325156049,1.355905091,6.85983706,2.320413507,0.936552228,3.32937937,0.592392593,3.989643161,0.835815268,2.409529173,,2.14718465,0.30841221,1.619804472,0.292152017,0.438365496,0.287573532,0.086302425,0.7036,0.513074,18.42,15.51,38.248,2,BFBG-154745
FU3-DR03-02,Fatu Kapa,-177.12194,-14.7448,48.4565536,1.258352381,16.55831943,9.956962889,,8.209251249,13.12281769,2.356913984,0.449411565,0.139816931,,40.1,284.3,271,47.38,104.4,,,,7.24,181.5,23.18,67,5.729,,0.053,121.4,5.3,12.7,1.912,9.04,2.783,1.0625,3.702,0.6247,4.129,0.8626,2.539,,2.31,0.346,1.95,0.379,1,0.564,0.289,,,,,,1A,BFBG-154749
FU3-DR03-03,Fatu Kapa,-177.12194,-14.7448,47.88045455,0.911150432,17.64227539,8.921264116,,9.792363979,13.15661173,1.972490495,0.230290768,0.080101137,,37.7,221.6,287,50.43,166.2,,,,3.63,152.4,18.34,47,3.19,,0.048,39.9,3,7.39,1.179,5.67,1.941,0.782,2.657,0.4691,3.22,0.6811,1.988,,1.873,0.282,1.38,0.233,0.71,0.258,0.204,,,,,,2,-
FU3-DR03-04,Fatu Kapa,-177.12194,-14.7448,49.70107934,1.738783969,14.72438448,12.45290946,,6.854628131,11.40762893,2.784064505,0.391980201,0.16081239,,,,,,,,,,7.919960839,149.5935547,37.08155873,104.9870561,8.691481729,,0.079751538,76.70063059,7.280865469,15.85052061,2.563124005,12.56784936,3.840251868,1.372253454,4.89144364,0.84693884,5.527801538,1.162337441,3.453762608,,3.170939813,0.466787963,2.763855032,0.556332792,0.826306886,0.744060505,0.210543587,,0.512993,18.588,15.555,38.469,1A,BFBG-154751
